Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,107047,107137,0.0900805
Sensor1,bom,108047,108137,0.0901134
Sensor1,bom,109047,109137,0.0901128
Sensor1,bom,110047,110137,0.0899257
Sensor1,bom,111047,111137,0.0899526
Sensor1,bom,112047,112137,0.0899105
Sensor1,bom,113047,113137,0.0899671
Sensor1,bom,114047,114137,0.0899377
Sensor1,bom,115047,115137,0.0902558
Sensor1,bom,116047,116137,0.0899907
Sensor1,bom,117047,117137,0.0898595
Sensor1,bom,118047,118137,0.0899544
Sensor1,bom,119047,119137,0.0899141
Sensor1,bom,120047,120137,0.0898851
Sensor1,bom,121047,121137,0.0898888
Sensor1,bom,122047,122137,0.0898881
Sensor1,bom,123047,123137,0.0900891
Sensor1,bom,124047,124137,0.0899627
Sensor1,bom,125047,125137,0.0900116
Sensor1,bom,126047,126137,0.089972
Sensor1,bom,127047,127137,0.0899223
Sensor1,bom,128047,128137,0.0899359
Sensor1,bom,129047,129137,0.089955
Sensor1,bom,130047,130137,0.0899167
Sensor1,bom,131047,131137,0.0900822
Sensor1,bom,132047,132137,0.0900249
Sensor1,bom,133047,133137,0.0900687
Sensor1,bom,134047,134137,0.0900287
Sensor1,bom,135047,135137,0.0899482
Sensor1,bom,136047,136137,0.0901099
Sensor1,bom,137047,137137,0.0900004
Sensor1,bom,138047,138137,0.0899865
Sensor1,bom,139047,139137,0.0900457
Sensor1,bom,140047,140137,0.0900355
Sensor1,bom,141047,141137,0.0899576
Sensor1,bom,142047,142137,0.0899454
Sensor1,bom,143047,143137,0.0900032
Sensor1,bom,144047,144137,0.0899476
Sensor1,bom,145047,145137,0.0899204
Sensor1,bom,146047,146137,0.0900603
Sensor1,bom,147047,147137,0.0899133
Sensor1,bom,148047,148137,0.0901479
Sensor1,bom,149047,149137,0.0900212
Sensor1,bom,150047,150137,0.0899287
Sensor1,bom,151047,151137,0.0900102
Sensor1,bom,152047,152137,0.0899634
Sensor1,bom,153047,153137,0.0901494
Sensor1,bom,154047,154137,0.0898214
Sensor1,bom,155047,155137,0.0898229
Sensor1,bom,156047,156137,0.0900389
Sensor1,bom,157047,157137,0.0899947
Sensor1,bom,158047,158137,0.0898706
Sensor1,bom,159047,159137,0.0899516
Sensor1,bom,160047,160137,0.0900711
Sensor1,bom,161047,161137,0.0900796
Sensor1,bom,162047,162137,0.0900439
Sensor1,bom,163047,163137,0.0901244
Sensor1,bom,164047,164137,0.0900358
Sensor1,bom,165047,165137,0.0899735
Sensor1,bom,166047,166137,0.0900927
Sensor1,bom,167047,167137,0.0900071
Sensor1,bom,168047,168137,0.0900706
Sensor1,bom,169047,169137,0.0899379
Sensor1,bom,170047,170137,0.0898616
Sensor1,bom,171047,171137,0.0899112
Sensor1,bom,172047,172137,0.0900136
Sensor1,bom,173047,173137,0.0901439
Sensor1,bom,174047,174137,0.0899422
Sensor1,bom,175047,175137,0.0899339
Sensor1,bom,176047,176137,0.0899593
Sensor1,bom,177047,177137,0.0899196
Sensor1,bom,178047,178137,0.0900012
Sensor1,bom,179047,179137,0.0898882
Sensor1,bom,180047,180137,0.0899625
Sensor1,bom,181047,181137,0.0899649
Sensor1,bom,182047,182137,0.0899233
Sensor1,bom,183047,183137,0.0900853
Sensor1,bom,184047,184137,0.0899993
Sensor1,bom,185047,185137,0.0899723
Sensor1,bom,186047,186137,0.0900186
Sensor1,bom,187047,187137,0.0900495
Sensor1,bom,188047,188137,0.0900472
Sensor1,bom,189047,189137,0.0899174
Sensor1,bom,190048,190137,0.0897958
Sensor1,bom,191047,191137,0.0900787
Sensor1,bom,192047,192137,0.0900075
Sensor1,bom,193047,193137,0.0900736
Sensor1,bom,194047,194137,0.0900995
Sensor1,bom,195047,195137,0.0899968
Sensor1,bom,196047,196137,0.0901303
Sensor1,bom,197047,197137,0.0900538
Sensor1,bom,198047,198137,0.0899874
Sensor1,bom,199047,199137,0.0900107
Sensor1,bom,200047,200137,0.0898523
Sensor1,bom,201047,201137,0.089911
Sensor1,bom,202047,202137,0.0899345
Sensor1,bom,203047,203137,0.0901291
Sensor1,bom,204047,204137,0.0900149
Sensor1,bom,205047,205137,0.0900073
Sensor1,bom,206047,206137,0.089867
Sensor1,bom,207047,207137,0.0900022
Sensor1,bom,208047,208137,0.0899879
Sensor1,bom,209047,209137,0.0900471
