@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,bom,179242,179337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,180242,180337,0.09444,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,181242,181337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,182242,182337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,183242,183337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,184242,184337,0.09421,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,185242,185337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,186242,186337,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,187242,187337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,188242,188337,0.09445,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,189242,189337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,190242,190337,0.09423,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,191242,191337,0.09442,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,192242,192337,0.09441,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,193242,193337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,194242,194337,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,195242,195337,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,196242,196337,0.09446,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,197242,197337,0.09427,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,198242,198337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,199242,199337,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,200242,200337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,201242,201337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,202242,202337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,203242,203337,0.09447,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,204242,204337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,205242,205337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,206242,206337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,207242,207337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,208242,208337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,209242,209337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,210242,210337,0.09443,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,211242,211337,0.09449,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,212242,212337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,213242,213337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,214242,214337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,215242,215337,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,216242,216337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,217242,217337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,218242,218337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,219242,219337,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,220242,220337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,221243,221337,0.09422,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,222242,222337,0.09442,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,223242,223337,0.09423,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,224242,224337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,225242,225337,0.09421,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,226242,226337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,227242,227337,0.09446,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,228242,228337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,229242,229337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,230242,230337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,231242,231337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,232242,232337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,233242,233337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,234242,234337,0.09425,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,235242,235337,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,236242,236337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,237242,237337,0.09441,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,238242,238337,0.09425,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,239242,239337,0.09445,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,240242,240337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,241243,241337,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,3.04724,3.13652,0.08928,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,4.04716,4.13655,0.08938,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,5.04738,5.13663,0.08925,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,6.04738,6.13665,0.08927,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,7.04732,7.13667,0.08936,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,8.04724,8.13663,0.08939,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,9.04722,9.13664,0.08943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,10.0476,10.1373,0.08979,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,11.0474,11.1372,0.08985,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,12.0472,12.1374,0.09014,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,13.0473,13.1375,0.09023,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,14.0474,14.1374,0.09002,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor1,bom,15.0474,15.1373,0.08994,ten,'Real-time ON',SATISFIED,SATISFIED
