Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
73.3854,moderado,-3.28,0.08,0.72069,Non-controlled
73.4328,baixo,-3.36,1.06,0.0474,Non-controlled
74.1614,moderado,-4.42,0.08,0.72866,Non-controlled
74.2092,baixo,-4.5,0.78,0.04778,Non-controlled
74.7446,alto,-5.28,0.29,0.53542,Non-controlled
74.9375,moderado,-5.57,0.15,0.19289,Non-controlled
75.0347,baixo,-5.72,0.57,0.0972,Non-controlled
75.4255,moderado,-6.29,0.15,0.39072,Non-controlled
75.5226,baixo,-6.44,0.78,0.09714,Non-controlled
76.0571,moderado,-7.22,0.08,0.53449,Non-controlled
76.1051,baixo,-7.3,1.97,0.04796,Non-controlled
77.4571,alto,-9.27,0.22,1.35205,Non-controlled
77.6054,moderado,-9.49,0.29,0.14828,Non-controlled
77.8014,baixo,-9.78,1.76,0.19599,Non-controlled
79.0056,moderado,-11.54,0.36,1.20418,Non-controlled
79.2491,baixo,-11.9,0.57,0.2435,Non-controlled
80,alto,-12.47,0.71,0.38398,Non-controlled
80.1132,moderado,-13.18,0.15,0.48016,Non-controlled
80.2103,baixo,-13.33,1.13,0.0971,Non-controlled
80.9815,alto,-14.46,0.29,0.77121,Non-controlled
81.1735,moderado,-14.75,0.08,0.19195,Non-controlled
81.2215,baixo,-14.83,0.5,0.04799,Non-controlled
81.5608,moderado,-15.33,0.22,0.33932,Non-controlled
81.7094,baixo,-15.55,0.08,0.1486,Non-controlled
81.7571,moderado,-15.63,0.08,0.04776,Non-controlled
81.8056,baixo,-15.71,0.57,0.04841,Non-controlled
82.1935,alto,-16.28,0.36,0.3879,Non-controlled
82.4375,moderado,-16.64,0.36,0.24408,Non-controlled
82.6775,baixo,-17,2.53,0.23998,Non-controlled
84.4089,alto,-19.53,1.34,1.73135,Non-controlled
85.3249,moderado,-20.87,0.22,0.91604,Non-controlled
85.4735,baixo,-21.09,10.44,0.14857,Non-controlled
92.6371,alto,-31.53,0.29,7.16364,Non-controlled
92.8292,moderado,-31.82,0.08,0.19211,Non-controlled
92.8768,baixo,-31.9,0.22,0.04755,Non-controlled
93.0253,moderado,-32.12,0.15,0.14856,Non-controlled
93.1224,baixo,-32.27,3.3,0.09702,Non-controlled
95.3853,moderado,-35.57,0.29,2.26291,Non-controlled
95.5775,baixo,-35.86,1.06,0.19222,Non-controlled
96.2961,moderado,-36.92,0.08,0.7186,Non-controlled
96.3447,baixo,-37,0.99,0.04861,Non-controlled
97.0255,moderado,-37.99,0.15,0.68074,Non-controlled
97.1226,baixo,-38.14,7.36,0.09714,Non-controlled
102,alto,-45.5,0.15,5.05421,Non-controlled
102,moderado,-45.65,0.22,0.09751,Non-controlled
102,baixo,-45.87,4.49,0.14314,Non-controlled
105,alto,-50.36,0.57,3.07552,Non-controlled
106,moderado,-50.93,0.08,0.38449,Non-controlled
106,baixo,-51.01,1.2,0.04716,Non-controlled
107,alto,-52.21,0.29,0.82101,Non-controlled
107,moderado,-52.5,0.08,0.19603,Non-controlled
107,baixo,-52.58,1.55,0.04756,Non-controlled
108,alto,-54.13,0.57,1.06008,Non-controlled
108,moderado,-54.7,0.15,0.38792,Non-controlled
109,baixo,-54.85,0.64,0.09729,Non-controlled
109,alto,-55.49,0.78,0.43909,Non-controlled
110,moderado,-56.27,0.22,0.53137,Non-controlled
110,baixo,-56.49,9.25,0.14449,Non-controlled
116,alto,-65.74,1.06,6.33994,Non-controlled
117,moderado,-66.8,0.08,0.72355,Non-controlled
117,baixo,-66.88,2.39,0.04791,Non-controlled
