Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor3,medio,48.4588,48.6351,0.176321
Sensor0,medio,48.6407,48.8363,0.195656
Sensor2,medio,48.7515,48.8364,0.0849405
Sensor4,medio,48.7633,48.8365,0.0731906
Sensor1,medio,48.8482,48.9351,0.0868668
Sensor3,medio,48.9589,49135,0.176073
Sensor4,medio,49.2629,49335,0.0721244
Sensor1,medio,49.3462,49435,0.0888316
Sensor3,medio,49.4589,49.6351,0.176146
Sensor0,medio,49.6405,49.8363,0.195794
Sensor2,medio,49.7512,49.8365,0.085266
Sensor4,medio,49.7629,49.8366,0.0736275
Sensor1,medio,49.8481,49.9351,0.0870593
Sensor3,medio,49959,50.1351,0.176135
Sensor4,medio,50.2633,50.3351,0.0718399
Sensor1,medio,50.3465,50.4352,0.0886865
Sensor3,medio,50.4591,50635,0.175944
Sensor0,medio,50.6406,50.8365,0.195844
Sensor2,medio,50.7514,50.8366,0.0852087
Sensor4,medio,50.7632,50.8367,0.0734678
Sensor1,medio,50.8479,50.9351,0.0872125
Sensor3,medio,50959,51.1352,0.176198
Sensor4,medio,51263,51.3351,0.0721232
Sensor1,medio,51.3466,51.4351,0.0884812
Sensor3,medio,51.4588,51.6351,0.176258
Sensor0,medio,51.6406,51.8364,0.195841
Sensor2,medio,51.7515,51.8365,0.08507
Sensor4,medio,51.7633,51.8366,0.0733628
Sensor1,medio,51.8483,51.9352,0.0868419
Sensor3,medio,51.9592,52.1351,0.175981
Sensor4,medio,52.2629,52.3351,0.0721785
Sensor1,medio,52.3464,52.4352,0.0888143
Sensor3,medio,52459,52.6351,0.176153
Sensor0,medio,52.6408,52.8364,0.195664
Sensor2,medio,52.7515,52.8365,0.0850135
Sensor4,medio,52.7633,52.8366,0.0733362
Sensor1,medio,52.8482,52.9352,0.0870291
Sensor3,medio,52.9585,53.1352,0.176645
Sensor4,medio,53.2629,53.3351,0.0722302
Sensor1,medio,53.3464,53.4351,0.0887518
Sensor3,medio,53459,53635,0.176032
Sensor0,medio,53.6406,53.8364,0.195842
Sensor2,medio,53.7516,53.8365,0.0849632
Sensor4,medio,53.7634,53.8366,0.0732754
Sensor1,medio,53848,53.9351,0.0871189
Sensor3,medio,53959,54.1351,0.176051
Sensor4,medio,54.2631,54.3351,0.0719931
Sensor1,medio,54.3464,54.4351,0.0886453
Sensor3,medio,54.4587,54.6351,0.17633
Sensor0,medio,54.6406,54.8364,0.195795
Sensor2,medio,54.7514,54.8365,0.0851524
Sensor4,medio,54.7631,54.8366,0.0735669
Sensor1,medio,54.8482,54.9351,0.086893
Sensor3,medio,54.9591,55.1352,0.176132
Sensor4,medio,55.2629,55.3352,0.0722505
Sensor1,medio,55.3464,55.4351,0.0887261
Sensor3,medio,55.4591,55.6352,0.176163
Sensor0,medio,55.6408,55.8363,0.195546
Sensor2,medio,55.7515,55.8364,0.0849537
Sensor4,medio,55.7633,55.8365,0.0732213
Sensor1,medio,55.8483,55.9351,0.0867859
Sensor3,medio,55.9592,56.1351,0.175885
Sensor4,medio,56.2631,56335,0.0719279
Sensor1,medio,56.3463,56.4351,0.0887231
Sensor3,medio,56459,56.6351,0.176094
Sensor0,medio,56.6407,56.8364,0.195774
Sensor2,medio,56.7514,56.8365,0.0851164
Sensor4,medio,56.7632,56.8366,0.0734397
Sensor1,medio,56.8482,56.9351,0.0868895
Sensor3,medio,56.9593,57.1351,0.175791
Sensor4,medio,57.2631,57.3351,0.0720164
Sensor1,medio,57.3462,57435,0.0887985
Sensor3,medio,57.4587,57.6352,0.176505
Sensor0,medio,57.6408,57.8365,0.195742
Sensor2,medio,57.7515,57.8367,0.085168
Sensor4,medio,57.7633,57.8368,0.0735043
Sensor1,medio,57.8481,57.9352,0.0870519
Sensor3,medio,57.9589,58.1352,0.17627
Sensor4,medio,58.2629,58.3351,0.0721801
Sensor1,medio,58.3463,58.4352,0.0888684
Sensor3,medio,58459,58.6351,0.176029
Sensor0,medio,58.6407,58.8364,0.195722
Sensor2,medio,58.7515,58.8365,0.084974
