Tempo(s), Risco do Sensor, Nivel da Bateria, Diff(s),Mode,Cycle Time-Constraint,Confirmation Time-Constraint
452,alto,-84.1,2.450,(3 out of 5),Violated,Violated
453,moderado,-84.43,0.800,(3 out of 5),Violated,Violated
456,alto,-85.5,2.650,(3 out of 5),Violated,Violated
456,moderado,-85.61,0.250,(3 out of 5),Violated,Violated
457,alto,-86.04,1.050,(3 out of 5),Violated,Violated
458,moderado,-86.57,1.300,(3 out of 5),Violated,Violated
461,alto,-87.88,3.250,(3 out of 5),Violated,Violated
463,moderado,-88.33,1.100,(3 out of 5),Violated,Violated
464,baixo,-88.94,1.500,(3 out of 5),Violated,Violated
465,moderado,-89.21,0.650,(3 out of 5),Violated,Violated
471,baixo,-91.68,6.150,(3 out of 5),Violated,Violated
473,moderado,-92.45,1.900,(3 out of 5),Violated,Violated
481,alto,-95.92,8.650,(3 out of 5),Violated,Violated
482,moderado,-96.09,0.400,(3 out of 5),Violated,Violated
483,alto,-96.58,1.200,(3 out of 5),Violated,Violated
483,moderado,-96.77,0.450,(3 out of 5),Violated,Violated
484,baixo,-97.2,1.050,(3 out of 5),Violated,Violated
485,moderado,-97.29,0.200,(3 out of 5),Violated,Satisfied
486,baixo,-98.02,1.800,(3 out of 5),Violated,Violated
487,moderado,-98.17,0.350,(3 out of 5),Violated,Violated
487,baixo,-98.24,0.150,(3 out of 5),Violated,Satisfied
487,moderado,-98.43,0.450,(3 out of 5),Violated,Violated
489,alto,-98.88,1.100,(3 out of 5),Violated,Violated
490,moderado,-99.31,1.050,(3 out of 5),Violated,Violated
493,baixo,-100.8,3.700,(3 out of 5),Violated,Violated
495,moderado,-101.59,1.950,(3 out of 5),Violated,Violated
498,baixo,-102.76,2.900,(3 out of 5),Violated,Violated
499,moderado,-102.97,0.500,(3 out of 5),Violated,Violated
502,baixo,-104.4,3.550,(3 out of 5),Violated,Violated
506,moderado,-106.03,4.050,(3 out of 5),Violated,Violated
507,baixo,-106.3,0.650,(3 out of 5),Violated,Violated
509,moderado,-107.09,1.950,(3 out of 5),Violated,Violated
515,alto,-109.76,6.650,(3 out of 5),Violated,Violated
516,moderado,-109.87,0.250,(3 out of 5),Violated,Satisfied
518,baixo,-110.68,2.000,(3 out of 5),Violated,Violated
518,moderado,-110.73,0.101,(3 out of 5),Violated,Satisfied
519,baixo,-111.38,1.599,(3 out of 5),Violated,Violated
521,moderado,-111.97,1.450,(3 out of 5),Violated,Violated
522,baixo,-112.42,1.100,(3 out of 5),Violated,Violated
522,moderado,-112.45,0.050,(3 out of 5),Satisfied,Satisfied
526,baixo,-114.02,3.900,(3 out of 5),Violated,Violated
529,moderado,-115.17,2.850,(3 out of 5),Violated,Violated
529,alto,-115.36,0.450,(3 out of 5),Violated,Violated
529,moderado,-115.41,0.101,(3 out of 5),Violated,Satisfied
531,baixo,-116.2,1.949,(3 out of 5),Violated,Violated
532,moderado,-116.31,0.250,(3 out of 5),Violated,Satisfied
532,baixo,-116.36,0.101,(3 out of 5),Violated,Satisfied
533,moderado,-116.85,1.199,(3 out of 5),Violated,Violated
536,alto,-118.12,3.150,(3 out of 5),Violated,Violated
538,moderado,-119.09,2.400,(3 out of 5),Violated,Violated
543,baixo,-120.8,4.250,(3 out of 5),Violated,Violated
545,moderado,-121.57,1.900,(3 out of 5),Violated,Violated
546,alto,-122.12,1.350,(3 out of 5),Violated,Violated
548,moderado,-122.93,2.000,(3 out of 5),Violated,Violated
548,alto,-123.08,0.350,(3 out of 5),Violated,Violated
551,moderado,-124.03,2.350,(3 out of 5),Violated,Violated
553,alto,-124.82,1.950,(3 out of 5),Violated,Violated
553,moderado,-124.93,0.250,(3 out of 5),Violated,Violated
554,alto,-125.32,0.950,(3 out of 5),Violated,Violated
554,moderado,-125.51,0.450,(3 out of 5),Violated,Violated
555,baixo,-125.86,0.850,(3 out of 5),Violated,Violated
555,moderado,-125.89,0.050,(3 out of 5),Satisfied,Satisfied
555,baixo,-125.92,0.051,(3 out of 5),Satisfied,Satisfied
557,moderado,-126.49,1.399,(3 out of 5),Violated,Violated
557,alto,-126.7,0.500,(3 out of 5),Violated,Violated
557,moderado,-126.73,0.050,(3 out of 5),Satisfied,Satisfied
557,alto,-126.86,0.300,(3 out of 5),Violated,Violated
559,moderado,-127.43,1.400,(3 out of 5),Violated,Violated
566,baixo,-130.36,7.300,(3 out of 5),Violated,Violated
572,moderado,-132.73,5.900,(3 out of 5),Violated,Violated
575,baixo,-133.76,2.550,(3 out of 5),Violated,Violated
575,moderado,-133.83,0.150,(3 out of 5),Violated,Satisfied
575,baixo,-134.08,0.600,(3 out of 5),Violated,Violated
578,moderado,-135.23,2.850,(3 out of 5),Violated,Violated
580,baixo,-135.82,1.450,(3 out of 5),Violated,Violated
580,moderado,-135.89,0.150,(3 out of 5),Violated,Satisfied
583,baixo,-137.04,2.850,(3 out of 5),Violated,Violated
584,moderado,-137.77,1.800,(3 out of 5),Violated,Violated
585,alto,-137.84,0.150,(3 out of 5),Violated,Satisfied
587,moderado,-138.77,2.300,(3 out of 5),Violated,Violated
592,baixo,-140.98,5.501,(3 out of 5),Violated,Violated
592,moderado,-141.03,0.100,(3 out of 5),Satisfied,Satisfied
593,alto,-141.28,0.599,(3 out of 5),Violated,Violated
594,moderado,-141.75,1.150,(3 out of 5),Violated,Violated
595,alto,-141.98,0.550,(3 out of 5),Violated,Violated
595,moderado,-142.03,0.101,(3 out of 5),Violated,Satisfied
596,baixo,-142.38,0.849,(3 out of 5),Violated,Violated
597,moderado,-142.93,1.350,(3 out of 5),Violated,Violated
599,baixo,-143.84,2.000,(3 out of 5),Violated,Violated
601,moderado,-144.49,1.599,(3 out of 5),Violated,Violated
603,baixo,-145.5,2.500,(3 out of 5),Violated,Violated
604,moderado,-145.65,0.350,(3 out of 5),Violated,Violated
609,alto,-147.76,5.250,(3 out of 5),Violated,Violated
610,moderado,-148.05,0.700,(3 out of 5),Violated,Violated
611,alto,-148.54,1.200,(3 out of 5),Violated,Violated
612,moderado,-149.01,1.150,(3 out of 5),Violated,Violated
613,baixo,-149.22,0.500,(3 out of 5),Violated,Violated
613,moderado,-149.27,0.101,(3 out of 5),Violated,Satisfied
614,alto,-149.74,1.149,(3 out of 5),Violated,Violated
614,moderado,-149.95,0.500,(3 out of 5),Violated,Violated
615,alto,-150.3,0.850,(3 out of 5),Violated,Violated
615,moderado,-150.43,0.300,(3 out of 5),Violated,Violated
618,baixo,-151.46,2.550,(3 out of 5),Violated,Violated
619,moderado,-151.69,0.550,(3 out of 5),Violated,Violated
619,baixo,-151.72,0.050,(3 out of 5),Satisfied,Satisfied
620,moderado,-152.19,1.150,(3 out of 5),Violated,Violated
621,alto,-152.54,0.850,(3 out of 5),Violated,Violated
621,moderado,-152.87,0.800,(3 out of 5),Violated,Violated
623,baixo,-153.48,1.500,(3 out of 5),Violated,Violated
624,moderado,-154.05,1.400,(3 out of 5),Violated,Violated
626,baixo,-154.6,1.350,(3 out of 5),Violated,Violated
626,moderado,-154.65,0.101,(3 out of 5),Violated,Satisfied
626,baixo,-154.82,0.399,(3 out of 5),Violated,Violated
628,moderado,-155.53,1.750,(3 out of 5),Violated,Violated
