Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor2,bom,178904,178953,0.049822
Sensor2,bom,180123,180173,0.0497095
Sensor2,bom,181336,181385,0.0496174
Sensor2,bom,182551,182601,0.0499975
Sensor2,bom,183768,183817,0.04981
Sensor2,bom,184982,185032,0.0497945
Sensor2,bom,186193,186243,0.0498516
Sensor2,bom,187407,187457,0.0498466
Sensor2,bom,188619,188669,0.0496759
Sensor2,bom,189.83,189.88,0.0496283
Sensor2,bom,191042,191092,0.0497602
Sensor2,bom,192257,192307,0.0499933
Sensor2,bom,193473,193522,0.0492398
Sensor2,bom,194687,194737,0.0499609
Sensor2,bom,195903,195953,0.049994
Sensor2,bom,197118,197168,0.0499665
Sensor2,bom,198331,198.38,0.0496347
Sensor2,bom,199543,199593,0.0497929
Sensor2,bom,200755,200805,0.0503793
Sensor2,bom,201971,202.02,0.0496343
Sensor2,bom,203182,203232,0.0493894
Sensor2,bom,204395,204445,0.0497965
Sensor2,bom,205605,205655,0.0503774
Sensor2,bom,206822,206871,0.0496607
Sensor2,bom,208036,208085,0.0497489
Sensor2,bom,209.25,209.3,0.0494188
Sensor2,bom,210464,210514,0.0498873
Sensor2,bom,211678,211727,0.0496448
Sensor2,bom,212892,212941,0.0497573
Sensor2,bom,214.11,214159,0.0495939
Sensor2,bom,215326,215375,0.0497018
Sensor2,bom,216539,216589,0.0496909
Sensor2,bom,217752,217801,0.0497194
Sensor2,bom,218963,219012,0.0496817
Sensor2,bom,220174,220223,0.0494914
Sensor2,bom,221385,221435,0.0495048
Sensor2,bom,222593,222643,0.0499016
Sensor2,bom,223805,223855,0.0496852
Sensor2,bom,225017,225067,0.0499418
Sensor2,bom,226.23,226.28,0.0501512
Sensor2,bom,227443,227493,0.0503349
Sensor2,bom,228655,228705,0.049804
Sensor2,bom,229.87,229.92,0.0496738
Sensor2,bom,231085,231134,0.0496781
Sensor2,bom,232295,232345,0.0498936
Sensor2,bom,233509,233559,0.0495492
Sensor2,bom,234717,234767,0.0496909
Sensor2,bom,235924,235973,0.0494327
Sensor2,bom,237137,237186,0.0497721
Sensor2,bom,238.35,238.4,0.0497998
Sensor2,bom,239562,239612,0.0497799
Sensor2,bom,240772,240821,0.0495844
Sensor2,bom,241986,242035,0.0495497
Sensor2,bom,243.2,243249,0.0495592
Sensor2,bom,244415,244465,0.0500354
Sensor2,bom,245634,245684,0.0497591
Sensor2,bom,246847,246898,0.0500501
Sensor2,bom,248066,248116,0.0500329
Sensor2,bom,249277,249327,0.0500416
Sensor2,bom,250489,250539,0.0500824
Sensor2,bom,251703,251753,0.0496182
Sensor2,bom,252917,252967,0.049961
Sensor2,bom,254131,254181,0.0499404
Sensor2,bom,255346,255396,0.0498041
Sensor2,bom,256563,256613,0.049636
Sensor2,bom,257775,257825,0.0498922
Sensor2,bom,258989,259039,0.0498105
Sensor2,bom,260204,260253,0.0496806
Sensor2,bom,261417,261467,0.0498048
Sensor2,bom,262634,262683,0.0495684
Sensor2,bom,263845,263894,0.049474
Sensor2,bom,265056,265106,0.0495379
Sensor2,bom,266269,266319,0.0499519
Sensor2,bom,267481,267531,0.0497358
Sensor2,bom,268693,268743,0.0498774
Sensor2,bom,269908,269958,0.0497537
Sensor2,bom,271124,271173,0.0493878
Sensor2,bom,272338,272388,0.0496619
Sensor2,bom,273553,273602,0.0495366
Sensor2,bom,274764,274813,0.0496994
Sensor2,bom,275976,276025,0.0495923
Sensor2,bom,277189,277238,0.0494024
Sensor2,bom,278.4,278449,0.0495993
Sensor2,bom,279617,279667,0.0501475
Sensor2,bom,280831,280881,0.0497607
Sensor2,bom,282044,282093,0.049357
Sensor2,bom,283261,283.31,0.0496897
Sensor2,bom,284477,284526,0.0492155
Sensor2,bom,285687,285737,0.0498163
Sensor2,bom,286899,286949,0.0499931
Sensor2,bom,288114,288164,0.0502629
Sensor2,bom,289331,289381,0.04999
Sensor2,bom,290.55,290599,0.0497213
Sensor2,bom,291767,291816,0.0496158
Sensor2,bom,292984,293033,0.0496582
Sensor2,bom,294195,294245,0.0499408
Sensor2,bom,295407,295456,0.049526
Sensor2,bom,296618,296668,0.0495547
Sensor2,bom,297.83,297.88,0.0498957
Sensor2,bom,299043,299093,0.0496262
Sensor2,bom,300254,300304,0.0497064
Sensor2,bom,301471,301521,0.0498491
Sensor2,bom,302685,302735,0.0497642
Sensor2,bom,303899,303948,0.0492412
Sensor2,bom,305112,305162,0.0495854
Sensor2,bom,306325,306375,0.0500671
Sensor2,bom,307535,307585,0.0500597
Sensor2,bom,308749,308799,0.0502439
Sensor2,bom,309963,310013,0.0497057
Sensor2,bom,311178,311228,0.0498536
